# Constructed from biom file
#OTU ID	SRR6374533	SRR6374534	SRR6374535	SRR6374536	SRR6374537	SRR6374538	SRR6374539	SRR6374540	SRR6374541	SRR6374542	SRR6374543	SRR6374544	SRR6374545	SRR6374546	SRR6374547
cd0075f2438e6a59c84c522c920c1703	26382.0	7411.0	28052.0	34785.0	801.0	170.0	5133.0	3257.0	1216.0	76477.0	84713.0	73889.0	103458.0	54501.0	81317.0
ca04f36a8f57c6693cb6efa65de4c04f	8457.0	23469.0	6436.0	3991.0	4948.0	597.0	8216.0	23402.0	5123.0	42033.0	20056.0	11907.0	34906.0	16030.0	12421.0
bce6e2f2b0236981e67783c042ad3de1	109.0	324.0	80.0	260.0	43117.0	56492.0	3567.0	314.0	23301.0	0.0	3064.0	76.0	409.0	0.0	32.0
7207e61b39eefb42fce68f0ec7a78744	26499.0	802.0	33279.0	18603.0	750.0	103.0	324.0	539.0	220.0	9432.0	341.0	277.0	1340.0	1587.0	466.0
97416f19e8a5effec9ba55e05d5f15dc	25711.0	1815.0	16783.0	10151.0	349.0	172.0	850.0	1676.0	895.0	250.0	149.0	72.0	291.0	126.0	69.0
1572e9751932966549c25ea32daaf545	10003.0	1023.0	12265.0	8231.0	235.0	135.0	660.0	917.0	465.0	1391.0	865.0	1082.0	1101.0	506.0	1506.0
40a9f5ed89ee4e4902e8878b72855520	884.0	4247.0	926.0	1544.0	9467.0	2882.0	2256.0	6151.0	5655.0	0.0	48.0	0.0	0.0	76.0	0.0
956e7ff1efedb897da8b91687cfe5a0f	74.0	10582.0	202.0	112.0	339.0	56.0	9924.0	10026.0	432.0	0.0	52.0	46.0	0.0	313.0	0.0
150fed18e20a50630564df8e3c9edbb4	5509.0	1436.0	5964.0	6671.0	1239.0	219.0	1288.0	1258.0	2222.0	586.0	363.0	241.0	545.0	559.0	162.0
151affde2dd2d2da1fc8a535b63c4657	15.0	0.0	10.0	0.0	4.0	22911.0	0.0	0.0	62.0	0.0	3.0	26.0	0.0	0.0	0.0
1a0ad63da6f37cac9d1f5c9e14c827fe	1720.0	1722.0	1809.0	422.0	435.0	171.0	6749.0	1237.0	386.0	530.0	1482.0	1201.0	2113.0	1691.0	691.0
3a12235da796316ce16b85e89a69f47e	29.0	689.0	112.0	42.0	439.0	335.0	1155.0	431.0	19060.0	0.0	13.0	0.0	0.0	0.0	0.0
3a843477b412b0bc021567c8333a5766	0.0	0.0	5.0	14.0	28.0	73.0	0.0	7.0	10.0	0.0	19884.0	0.0	0.0	0.0	0.0
461edc3a12334fcf84f4725e77e971b1	55.0	759.0	459.0	762.0	1588.0	1693.0	1975.0	1566.0	634.0	0.0	6252.0	0.0	0.0	0.0	0.0
69a578040fb5a9fff8bc026b7909ba83	0.0	2809.0	0.0	0.0	2404.0	248.0	2429.0	2306.0	5038.0	15.0	0.0	0.0	81.0	65.0	0.0
e004fbd88ab6659046921223a6e5ce70	48.0	73.0	259.0	144.0	35.0	0.0	115.0	11.0	115.0	1630.0	1117.0	5983.0	345.0	211.0	4222.0
f1e10ad9b61ff6339b72ab5271a6c70a	49.0	106.0	0.0	83.0	4712.0	5405.0	467.0	0.0	2794.0	0.0	0.0	0.0	0.0	0.0	0.0
f6e60561b232cd176707f8fb39b7cf13	0.0	0.0	0.0	0.0	4808.0	5267.0	277.0	0.0	2608.0	0.0	0.0	0.0	0.0	0.0	0.0
cb7edf4893287b4eda3099f2ae126c02	5627.0	0.0	4721.0	1421.0	0.0	0.0	0.0	0.0	0.0	988.0	0.0	8.0	75.0	8.0	0.0
d70a93a990d244961f6469c728948101	838.0	2081.0	746.0	432.0	639.0	272.0	644.0	662.0	176.0	557.0	523.0	308.0	910.0	2921.0	911.0
5a08835486ebbe0b17e71355224004fc	108.0	3305.0	354.0	180.0	756.0	127.0	3975.0	2068.0	1252.0	160.0	12.0	57.0	0.0	95.0	0.0
9954b854d8758df7c84b9eabb47916e9	313.0	407.0	158.0	1057.0	3027.0	2433.0	403.0	464.0	1689.0	23.0	101.0	0.0	0.0	26.0	0.0
f27ddf9b5d8c830a59d5e9dd43edaf58	250.0	715.0	213.0	883.0	2472.0	1835.0	591.0	457.0	1867.0	27.0	228.0	0.0	0.0	0.0	0.0
6c1dbff0c1cced1cae2d4fc9c26f36d9	171.0	825.0	275.0	297.0	1869.0	1266.0	617.0	1857.0	1703.0	0.0	0.0	9.0	0.0	0.0	0.0
3475b906d1b944c273b6c1edd0bd19ca	30.0	2640.0	446.0	256.0	278.0	30.0	2016.0	1754.0	476.0	20.0	0.0	0.0	0.0	0.0	0.0
454e15a4cd182efcd96f1d39be6930f5	0.0	0.0	0.0	0.0	120.0	0.0	7417.0	15.0	32.0	10.0	122.0	0.0	0.0	0.0	0.0
229b455a1c9ab5366685793806a95497	0.0	0.0	103.0	51.0	5885.0	0.0	24.0	88.0	930.0	0.0	0.0	0.0	0.0	0.0	0.0
ee7eeecacbea36ea6399aecc51d2fb0a	0.0	618.0	0.0	0.0	2439.0	0.0	2167.0	1720.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0
75bf3eeef98ad8bc44b43aa7745a36be	11.0	2546.0	0.0	0.0	119.0	11.0	2006.0	1791.0	276.0	15.0	0.0	0.0	0.0	20.0	0.0
215304ce5a11854de7c23fb7bb5af02c	0.0	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6430.0	0.0	0.0	0.0	0.0
1feef4274e9883dd02453aa9675fbbeb	1537.0	331.0	775.0	701.0	378.0	46.0	398.0	387.0	408.0	92.0	646.0	94.0	127.0	137.0	496.0
4bc6bcad25199a02c662af1b9d591da0	0.0	107.0	233.0	111.0	0.0	0.0	77.0	45.0	0.0	686.0	468.0	3520.0	156.0	52.0	983.0
143506352f55ee612e63b7867e220f6c	0.0	0.0	225.0	0.0	33.0	9.0	54.0	32.0	0.0	642.0	605.0	3284.0	241.0	82.0	1164.0
9f34133f54e16bcc0ec0a6df1918437a	72.0	12.0	51.0	1129.0	615.0	5.0	1262.0	920.0	11.0	0.0	0.0	0.0	1100.0	898.0	0.0
348679d477ab1fbfdfc42cbb7f947b53	0.0	0.0	0.0	0.0	0.0	5391.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0
a7d663872fec34c67f1953b847c00121	18.0	237.0	0.0	41.0	150.0	23.0	119.0	46.0	121.0	0.0	4623.0	0.0	0.0	0.0	0.0
e342d3ec847717ebe7db822633dfd75c	0.0	10.0	0.0	0.0	288.0	549.0	0.0	0.0	3914.0	0.0	0.0	0.0	0.0	0.0	0.0
bc9f1771be9867a11977a250f1f183f0	0.0	27.0	602.0	34.0	284.0	92.0	0.0	584.0	2965.0	0.0	0.0	11.0	0.0	35.0	0.0
a28383319c4c7db326f167e11b4e3ab4	128.0	245.0	52.0	55.0	826.0	357.0	1440.0	291.0	992.0	0.0	10.0	0.0	0.0	0.0	0.0
b2e71e3c1bac0692d1528911b15f63ee	40.0	0.0	0.0	0.0	200.0	658.0	2921.0	10.0	537.0	0.0	0.0	0.0	0.0	0.0	0.0
9baae68c9f40d8cc8d092441e859aecc	0.0	0.0	3.0	0.0	2683.0	63.0	7.0	0.0	88.0	0.0	1367.0	0.0	0.0	0.0	0.0
5be98ea2bc4cce73e3e7610450092342	0.0	101.0	75.0	58.0	115.0	831.0	343.0	16.0	2439.0	0.0	42.0	14.0	0.0	0.0	0.0
d0b922b97f89f2eac596cc29e5bd0f8a	947.0	64.0	1300.0	607.0	61.0	20.0	63.0	81.0	115.0	104.0	173.0	39.0	94.0	106.0	175.0
712bce3a43912806af60f05966776d61	0.0	595.0	21.0	80.0	2260.0	0.0	132.0	202.0	627.0	0.0	0.0	0.0	0.0	0.0	0.0
b822495b59d1a52c6e8bbdfe168ba209	37.0	999.0	114.0	112.0	155.0	42.0	701.0	1141.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0
50571d00c1b3b7b2297067bc86df8f4c	1607.0	42.0	677.0	928.0	53.0	3.0	108.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e9b22cb7b56e1ceba822769d4941dda8	23.0	768.0	23.0	0.0	0.0	0.0	986.0	1446.0	98.0	0.0	0.0	7.0	78.0	9.0	0.0
1492ff177097cf78a9f66d9c418f81a0	33.0	42.0	75.0	18.0	55.0	0.0	3129.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
52bddf12d54343bc0d17f79b88d9eeb9	0.0	86.0	0.0	0.0	149.0	114.0	1790.0	103.0	1101.0	0.0	0.0	0.0	0.0	29.0	0.0
45c1bf59fbb31588c5e9e36b64bb44cb	30.0	966.0	22.0	23.0	56.0	0.0	1775.0	232.0	165.0	0.0	0.0	69.0	0.0	0.0	0.0
7d1f8d837eba69425c08b552fba33daa	114.0	236.0	1028.0	529.0	185.0	22.0	343.0	244.0	132.0	179.0	16.0	77.0	89.0	16.0	37.0
4d63a52c9b7526351e664991f3cd8719	34.0	0.0	63.0	25.0	0.0	0.0	0.0	28.0	0.0	0.0	99.0	1191.0	587.0	192.0	1009.0
b2c1d4e62dff0082571c10d537296853	0.0	560.0	0.0	24.0	903.0	151.0	683.0	213.0	587.0	0.0	0.0	0.0	0.0	21.0	0.0
410aed65e52b4633d34c9b6d3adfdcca	35.0	439.0	428.0	318.0	232.0	31.0	638.0	627.0	314.0	8.0	0.0	25.0	0.0	0.0	0.0
321ebcfe81b5452de8df9533bff5ed9a	59.0	771.0	264.0	118.0	422.0	21.0	356.0	567.0	481.0	0.0	0.0	0.0	0.0	0.0	0.0
c4f51e2542564e2da2e2a23f6e24f7ce	7.0	17.0	0.0	0.0	0.0	0.0	102.0	7.0	97.0	0.0	0.0	0.0	19.0	2743.0	42.0
e7d577a6df000a061a1071cb4916b496	0.0	471.0	0.0	47.0	132.0	36.0	858.0	546.0	347.0	0.0	0.0	16.0	0.0	92.0	0.0
2e8a4f205eb86d76ef009973a87c1b63	59.0	303.0	215.0	43.0	0.0	3.0	982.0	45.0	75.0	568.0	0.0	23.0	162.0	14.0	0.0
47459e116eacb5f4bb144847ca73245c	0.0	448.0	112.0	102.0	62.0	25.0	882.0	508.0	310.0	0.0	0.0	0.0	0.0	0.0	0.0
b83196936921cd607fec3394e4f527f2	120.0	508.0	242.0	297.0	135.0	16.0	522.0	517.0	31.0	27.0	0.0	12.0	0.0	0.0	12.0
4df805d76bd0954630726c389efd5b4c	236.0	0.0	607.0	0.0	359.0	0.0	0.0	569.0	42.0	0.0	0.0	0.0	79.0	390.0	123.0
d03f46a4b358ba93565e4437f85fc226	38.0	364.0	136.0	60.0	296.0	10.0	353.0	430.0	703.0	0.0	0.0	0.0	0.0	0.0	0.0
8ebb2aa2bdc4fdcf65b09b8806bc1d8b	0.0	231.0	0.0	0.0	733.0	68.0	351.0	296.0	705.0	0.0	0.0	0.0	0.0	0.0	0.0
c7416de80838f64b38139d9872cff59c	0.0	420.0	153.0	64.0	53.0	0.0	1011.0	179.0	27.0	275.0	0.0	132.0	44.0	0.0	0.0
47256f57a543827480499a0da38619f5	416.0	242.0	277.0	234.0	36.0	25.0	441.0	82.0	70.0	199.0	0.0	298.0	28.0	7.0	0.0
85aa1b4c447e617271a48c3504610a52	0.0	871.0	0.0	0.0	0.0	0.0	754.0	691.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
81665ee92bc80247709c972f18bb734c	0.0	42.0	0.0	0.0	69.0	0.0	1497.0	702.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
c58c79e102b8e6b22c3f4f19e0010434	1473.0	245.0	217.0	167.0	42.0	0.0	39.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5141b2d34b5548312dc4ddbcd099c72a	0.0	94.0	163.0	0.0	91.0	0.0	64.0	0.0	0.0	376.0	413.0	308.0	41.0	16.0	679.0
7733edd4aa0702c34933475d35c51685	99.0	229.0	353.0	215.0	50.0	25.0	343.0	256.0	210.0	32.0	0.0	90.0	26.0	262.0	14.0
7e6bd07301ce358374b2bd7e6abce9db	0.0	0.0	0.0	0.0	0.0	2164.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
7df4290beea0c4957c7a315389e3aca1	38.0	76.0	161.0	65.0	58.0	9.0	148.0	193.0	27.0	209.0	267.0	372.0	46.0	82.0	381.0
c9a1dcd976179ec1b9858b627a57e5fd	0.0	155.0	0.0	0.0	1190.0	23.0	165.0	0.0	515.0	18.0	21.0	0.0	0.0	0.0	0.0
92470bd85217ecdab8014d888446238b	47.0	96.0	799.0	416.0	50.0	7.0	125.0	194.0	76.0	138.0	0.0	47.0	24.0	37.0	25.0
215ae6e5d0a724c8e5c896cbb4cf4bf9	79.0	210.0	537.0	379.0	40.0	0.0	111.0	89.0	26.0	293.0	19.0	80.0	86.0	88.0	40.0
0820ab50a90288008ae5e2e533befd08	1013.0	0.0	696.0	357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0fee8f13294e20d3699164a11c070a98	26.0	800.0	242.0	97.0	94.0	13.0	307.0	401.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
46d7c1721d73822d615dc206cc6a3672	96.0	0.0	84.0	102.0	0.0	0.0	0.0	0.0	0.0	255.0	296.0	244.0	408.0	192.0	295.0
5d1c143457179647bd38d49e6856c3cb	0.0	0.0	0.0	10.0	84.0	195.0	1036.0	0.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0
94b518bb126f9c979fcbd2a790f76756	132.0	101.0	830.0	489.0	22.0	0.0	56.0	136.0	39.0	48.0	17.0	0.0	50.0	35.0	13.0
6e444314501a1bc6df545b12900de825	36.0	307.0	132.0	96.0	0.0	22.0	1123.0	36.0	215.0	0.0	0.0	0.0	0.0	0.0	0.0
74266750919a82da7dd99991316d05db	0.0	652.0	0.0	0.0	0.0	0.0	537.0	581.0	90.0	52.0	0.0	0.0	12.0	0.0	0.0
0907ed40bda6f1f08712331a2365e69c	0.0	250.0	12.0	123.0	372.0	84.0	243.0	613.0	120.0	10.0	0.0	0.0	0.0	40.0	0.0
4d2bd4db01cda0f24e8d77d9ef595735	106.0	58.0	110.0	0.0	279.0	67.0	324.0	39.0	878.0	0.0	0.0	0.0	0.0	0.0	0.0
eddff9eb1fb96061b6d5a22acad47106	76.0	37.0	475.0	399.0	4.0	0.0	46.0	72.0	40.0	223.0	0.0	234.0	64.0	44.0	137.0
4af9be0633f6444a2610ea4d9b695c94	0.0	392.0	0.0	0.0	270.0	0.0	370.0	179.0	612.0	0.0	2.0	0.0	0.0	0.0	0.0
d91192b11284418453a8d03dd2fced72	142.0	324.0	36.0	93.0	0.0	0.0	1005.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856fb6aea5b3246e80de686c5172a352	11.0	339.0	73.0	17.0	116.0	30.0	476.0	466.0	200.0	0.0	0.0	0.0	0.0	0.0	0.0
99180cd4745c4798ddc435e21a1bdd7c	152.0	186.0	59.0	268.0	374.0	99.0	378.0	91.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0
df1eda135f1c09534eefa9e6edbe99dc	30.0	702.0	179.0	50.0	68.0	19.0	269.0	264.0	109.0	25.0	5.0	0.0	0.0	0.0	0.0
5b47613d0fa18ca8a09530bb753d8dc9	776.0	0.0	563.0	304.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
410543b65f8b2713270b6de0cf6e7b25	0.0	1465.0	3.0	10.0	0.0	7.0	106.0	69.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
270aa634a3cd12857b4020ee815206fa	161.0	238.0	300.0	108.0	91.0	5.0	149.0	280.0	124.0	21.0	37.0	24.0	57.0	28.0	78.0
ac98b68541d4c7b2abf4c0d1f2bb5946	44.0	262.0	752.0	237.0	27.0	0.0	131.0	136.0	51.0	11.0	0.0	0.0	0.0	50.0	0.0
b72589910a2208cedebdacb6a56ac7b2	0.0	0.0	0.0	0.0	79.0	1398.0	0.0	0.0	13.0	0.0	187.0	0.0	0.0	0.0	0.0
9d845daea2cc31f769ef0b3e3d87a1cf	0.0	695.0	49.0	49.0	55.0	0.0	317.0	427.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0
17ff80fd69d55ccbb9c6e00a6c122b61	34.0	153.0	57.0	35.0	68.0	0.0	923.0	294.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0
0f7c37161a3d64beb3cc7faef76f15f3	0.0	186.0	86.0	93.0	36.0	16.0	543.0	485.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0
7b5670f1eaaf7a881d41ed08a609cf34	0.0	406.0	0.0	0.0	20.0	0.0	706.0	138.0	7.0	50.0	0.0	0.0	0.0	240.0	0.0
7a81009962b583c8eb5e4a173e60add1	210.0	71.0	135.0	101.0	0.0	0.0	751.0	150.0	132.0	0.0	0.0	0.0	0.0	0.0	8.0
7040bb987094c28000f0501eae1c243c	0.0	61.0	0.0	0.0	206.0	87.0	114.0	186.0	855.0	0.0	0.0	0.0	0.0	0.0	8.0
1627c1fa576af6c0a5978989819eee41	45.0	0.0	61.0	203.0	72.0	6.0	548.0	140.0	32.0	227.0	16.0	42.0	65.0	0.0	52.0
91be78b57d62109e2a50ddd649e91e9a	140.0	140.0	43.0	173.0	68.0	0.0	0.0	101.0	0.0	137.0	35.0	54.0	156.0	376.0	49.0
88278926a78b25e355ac9cafb5e2a628	10.0	398.0	29.0	52.0	85.0	30.0	252.0	206.0	383.0	0.0	0.0	0.0	0.0	23.0	0.0
ae93f60dfb4c6e09816bd9e7b985fd59	481.0	0.0	528.0	285.0	0.0	0.0	0.0	146.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
ce33a593ef68277c8eb112e1276db736	39.0	0.0	0.0	0.0	175.0	0.0	77.0	68.0	1077.0	0.0	0.0	0.0	0.0	0.0	0.0
44e3eeb88b9b488ba2da4ddc59d79aeb	46.0	115.0	464.0	179.0	36.0	21.0	55.0	134.0	48.0	45.0	0.0	125.0	131.0	9.0	26.0
4a98ab1901abb3508c7d2ff8e5c60898	182.0	141.0	151.0	0.0	64.0	0.0	40.0	0.0	0.0	145.0	47.0	108.0	191.0	352.0	0.0
d0bf997690dcff38d9b2d57bd95b2d80	30.0	513.0	227.0	100.0	74.0	0.0	152.0	276.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
fb73511007a74d1e9e77d5f89c89cff6	70.0	159.0	227.0	178.0	125.0	25.0	289.0	185.0	141.0	0.0	0.0	0.0	15.0	0.0	0.0
b4f6f0242a9c0758466238cb15eb2e8c	0.0	15.0	0.0	0.0	0.0	0.0	37.0	34.0	0.0	522.0	160.0	181.0	109.0	260.0	93.0
